Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",101.917500,-40.798750,90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",99.536250,-40.955000,90.000000,bottom
"C3","0.1uF","C_0805_2012Metric",97.313750,-40.955000,90.000000,bottom
"C4","22pF","C_0805_2012Metric",119.856250,-48.418750,225.000000,bottom
"C5","22pF","C_0805_2012Metric",115.093750,-43.656250,45.000000,bottom
"C6","10uF","C_0805_2012Metric",94.773750,-40.955000,90.000000,bottom
"C7","C_Small","C_0805_2012Metric",103.187500,-46.831250,225.000000,bottom
"C8","100nF","C_0805_2012Metric",171.450000,-48.260000,90.000000,bottom
"C9","100nF","C_0805_2012Metric",171.450000,-53.340000,90.000000,bottom
"D1","D_Small","D_SOD-123",97.631250,-76.993750,90.000000,bottom
"D2","D_Small","D_SOD-123",97.631250,-96.043750,90.000000,bottom
"D3","D_Small","D_SOD-123",116.681250,-76.993750,90.000000,bottom
"D4","D_Small","D_SOD-123",116.681250,-96.043750,90.000000,bottom
"D5","D_Small","D_SOD-123",135.731250,-76.993750,90.000000,bottom
"D6","D_Small","D_SOD-123",135.731250,-96.043750,90.000000,bottom
"D7","D_Small","D_SOD-123",155.575000,-76.993750,90.000000,bottom
"D8","D_Small","D_SOD-123",154.781250,-96.043750,90.000000,bottom
"D9","D_Small","D_SOD-123",173.831250,-76.931250,90.000000,bottom
"D10","D_Small","D_SOD-123",173.831250,-96.043750,90.000000,bottom
"D11","D_Small","D_SOD-123",192.881250,-77.056250,90.000000,bottom
"D12","D_Small","D_SOD-123",192.881250,-96.043750,90.000000,bottom
"D13","D_Small","D_SOD-123",196.056250,-59.531250,90.000000,bottom
"D14","D_Small","D_SOD-123",124.618750,-106.362500,270.000000,bottom
"D15","D_Small","D_SOD-123",148.431250,-106.362500,270.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",92.868750,-52.387500,90.000000,bottom
"R1","22","R_0805_2012Metric",96.043750,-49.212500,180.000000,bottom
"R2","22","R_0805_2012Metric",96.043750,-46.831250,180.000000,bottom
"R3","10k","R_0805_2012Metric",154.940000,-54.252500,90.000000,bottom
"R4","10k","R_0805_2012Metric",118.268750,-60.325000,225.000000,bottom
"R5","5.1k","R_0805_2012Metric",84.931250,-47.625000,270.000000,bottom
"R6","5.1k","R_0805_2012Metric",82.550000,-47.625000,270.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",110.331250,-53.181250,315.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",117.475000,-46.037500,225.000000,bottom
